index,user_id,year_school,floor,aerobic_per_week,party,libcon,sad,stressed,fav_music
0,2,TYPEa,f282.4,3.5,TYPEd,TYPEf,0.4,0.2,TYPEd
1,4,TYPEb,f282.1,0.8,TYPEa,TYPEf,0.0,0.0,TYPEg
2,5,TYPEa,f282.3,0.8,TYPEc,TYPEe,0.0,0.0,TYPEa
3,6,TYPEb,f282.3,3.0,TYPEa,TYPEg,0.5,0.8,TYPEk
4,7,TYPEc,f282.1,1.0,TYPEa,TYPEf,0.0,0.0,TYPEf
5,8,TYPEa,f282.4,2.0,TYPEa,TYPEd,0.0,0.0,TYPEa
6,9,TYPEb,f290.4,2.8,TYPEd,TYPEg,0.1,0.0,TYPEk
7,11,TYPEd,f282.1,2.0,TYPEa,TYPEd,0.8,1.0,TYPEi
8,12,TYPEd,,2.6,TYPEc,TYPEe,0.1,0.1,TYPEc
9,15,TYPEe,f290.2,2.6,TYPEd,TYPEd,0.0,0.0,TYPEj
10,18,TYPEc,f290.3,1.8,TYPEa,TYPEf,0.2,0.7,TYPEb
11,20,TYPEb,f282.3,1.5,TYPEa,TYPEf,0.0,0.0,TYPEb
12,21,TYPEb,f282.1,1.0,TYPEb,TYPEc,0.1,0.1,TYPEf
13,22,TYPEd,f290.3,0.0,TYPEb,TYPEa,0.1,0.1,TYPEj
14,23,TYPEb,f282.4,3.3,TYPEc,TYPEe,0.0,0.1,TYPEc
15,24,TYPEd,,1.0,TYPEa,TYPEf,0.1,0.1,TYPEf
16,26,TYPEc,f290.3,0.5,TYPEa,TYPEg,0.2,0.2,TYPEh
17,27,TYPEb,f282.1,1.8,TYPEc,TYPEf,0.0,0.6,TYPEd
18,28,TYPEe,f282.3,0.5,TYPEc,TYPEf,0.4,0.8,TYPEk
19,29,TYPEd,f290.3,0.7,TYPEc,TYPEd,0.0,0.0,TYPEb
20,30,TYPEb,f282.3,3.5,TYPEa,TYPEf,0.0,0.2,TYPEg
21,31,TYPEc,f282.1,2.2,TYPEa,TYPEe,0.5,0.3,TYPEc
22,32,TYPEa,f290.3,0.3,TYPEa,TYPEd,0.0,0.1,TYPEb
23,33,TYPEd,f282.1,0.0,TYPEa,TYPEf,0.1,0.4,TYPEf
24,34,TYPEd,f282.4,1.0,TYPEc,TYPEe,0.0,0.7,TYPEk
25,35,TYPEa,f290.4,3.0,TYPEa,TYPEe,0.0,0.2,TYPEb
26,36,TYPEb,f282.3,2.6,TYPEb,TYPEb,0.0,0.1,TYPEk
27,37,TYPEe,f290.4,4.3,TYPEa,TYPEg,0.0,0.0,TYPEf
28,38,TYPEa,f282.4,1.0,TYPEc,TYPEc,0.3,0.2,TYPEf
29,40,TYPEa,f290.3,0.2,TYPEa,TYPEf,0.1,0.3,TYPEf
30,42,TYPEb,f282.3,5.0,TYPEc,TYPEd,0.0,0.0,TYPEa
31,43,TYPEa,f282.2,1.8,TYPEc,TYPEg,0.0,0.1,TYPEb
32,44,TYPEb,f282.2,2.0,TYPEa,TYPEf,0.0,0.0,TYPEb
33,45,TYPEa,f290.4,6.0,TYPEc,TYPEf,0.1,0.5,TYPEa
34,46,TYPEb,f282.3,1.0,TYPEa,TYPEg,0.0,0.0,TYPEb
35,47,TYPEc,f282.3,3.2,TYPEc,TYPEd,0.1,0.5,TYPEf
36,48,TYPEe,f290.2,0.8,TYPEa,TYPEf,0.1,0.3,TYPEh
37,49,TYPEd,f290.2,0.5,,TYPEf,0.3,0.5,TYPEf
38,51,TYPEe,f282.4,0.0,TYPEc,TYPEd,0.0,0.0,TYPEa
39,52,TYPEa,f282.1,4.0,TYPEa,TYPEd,0.1,0.1,TYPEd
40,54,TYPEa,f290.3,2.7,TYPEc,TYPEe,0.0,0.0,TYPEf
41,55,TYPEe,f282.4,1.0,TYPEc,TYPEc,0.0,0.0,TYPEk
42,56,TYPEd,f290.1,2.5,TYPEa,TYPEg,0.0,0.1,TYPEf
43,57,TYPEa,f282.1,1.0,TYPEa,TYPEf,0.0,0.0,TYPEf
44,58,TYPEd,f282.1,0.3,TYPEa,TYPEf,0.0,0.0,TYPEf
45,59,TYPEa,f282.3,5.8,TYPEc,TYPEe,0.0,0.0,TYPEk
46,60,TYPEb,f290.3,7.0,TYPEb,TYPEc,0.0,0.0,TYPEh
47,61,TYPEe,f282.2,2.0,TYPEa,TYPEf,0.0,0.1,TYPEg
48,62,TYPEa,f290.2,2.5,TYPEa,TYPEf,0.0,0.0,TYPEa
49,63,TYPEc,f282.2,0.0,TYPEb,TYPEc,0.0,0.0,TYPEa
50,64,TYPEa,f282.2,0.6,TYPEa,TYPEg,0.2,0.1,TYPEc
51,65,TYPEb,f290.3,2.0,TYPEa,TYPEf,0.0,1.0,TYPEi
52,66,TYPEa,f282.4,3.2,TYPEa,TYPEg,0.0,0.0,TYPEa
53,67,TYPEd,f290.3,1.2,TYPEa,TYPEg,0.0,0.5,TYPEj
54,68,TYPEa,f290.3,4.8,TYPEa,TYPEg,0.1,0.6,TYPEf
55,69,TYPEb,f290.4,1.7,TYPEa,TYPEf,0.0,0.0,TYPEk
56,70,TYPEa,f282.2,6.5,TYPEa,TYPEf,0.0,0.0,TYPEg
57,71,TYPEb,f282.3,2.7,TYPEa,TYPEf,0.0,0.0,TYPEg
58,72,,,0.0,TYPEa,TYPEf,0.1,0.2,TYPEj
