pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
0,FR-FR,0.0123,0.0556,0.1049,0.0864,0.0432,0.0309,0.0494,0.0494,0.0679,0.0988,0.0370,0.1173,0.0864,0.0247,0.0556,0.0123,0.0247,0.0185,0.0062,0.9815
1,FR-JR,0.0000,0.0093,0.0093,0.0185,0.0185,0.0093,0.0093,0.0185,0.0093,0.0185,0.0185,0.0093,0.0093,0.0093,0.0278,0.0093,0.0185,0.0093,0.0000,0.2315
2,FR-OTHER,0.0159,0.0159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0397
3,FR-SO,0.0035,0.0243,0.0312,0.0208,0.0278,0.0139,0.0451,0.0104,0.0139,0.0208,0.0104,0.0000,0.0417,0.0069,0.0069,0.0139,0.0069,0.0000,0.0000,0.2986
4,FR-SR,0.0051,0.0202,0.0253,0.0101,0.0051,0.0202,0.0152,0.0051,0.0152,0.0202,0.0051,0.0000,0.0000,0.0051,0.0051,0.0000,0.0051,0.0000,0.0000,0.1616
5,JR-FR,0.0000,0.0093,0.0093,0.0185,0.0185,0.0093,0.0093,0.0185,0.0093,0.0185,0.0185,0.0093,0.0093,0.0093,0.0278,0.0093,0.0185,0.0093,0.0000,0.2315
6,JR-JR,0.0000,0.0000,0.0000,0.1111,0.0000,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667
7,JR-OTHER,0.0000,0.0238,0.0000,0.0476,0.0000,0.0000,0.0000,0.0000,0.0238,0.0000,0.0476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1429
8,JR-SO,0.0208,0.0625,0.1146,0.0938,0.0521,0.0417,0.0729,0.0938,0.0938,0.1250,0.1042,0.0938,0.0729,0.0833,0.0729,0.0729,0.0521,0.0521,0.0312,1.4062
9,JR-SR,0.0152,0.0606,0.0909,0.0909,0.0303,0.0000,0.0455,0.0455,0.0000,0.0152,0.0606,0.0455,0.1212,0.0606,0.0758,0.0455,0.0455,0.0152,0.0455,0.9091
10,OTHER-FR,0.0159,0.0159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0397
11,OTHER-JR,0.0000,0.0238,0.0000,0.0476,0.0000,0.0000,0.0000,0.0000,0.0238,0.0000,0.0476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1429
12,OTHER-OTHER,0.0000,0.0816,0.1633,0.1633,0.2449,0.1224,0.1224,0.0408,0.1224,0.0816,0.1633,0.1224,0.1224,0.0816,0.1224,0.0000,0.0000,0.0000,0.0408,1.7959
13,OTHER-SO,0.0000,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0179
14,OTHER-SR,0.0000,0.0130,0.0519,0.0909,0.0519,0.0390,0.0260,0.0519,0.0779,0.0260,0.0260,0.0779,0.0260,0.0260,0.0390,0.0260,0.0000,0.0260,0.0390,0.7143
15,SO-FR,0.0035,0.0243,0.0312,0.0208,0.0278,0.0139,0.0451,0.0104,0.0139,0.0208,0.0104,0.0000,0.0417,0.0069,0.0069,0.0139,0.0069,0.0000,0.0000,0.2986
16,SO-JR,0.0208,0.0625,0.1146,0.0938,0.0521,0.0417,0.0729,0.0938,0.0938,0.1250,0.1042,0.0938,0.0729,0.0833,0.0729,0.0729,0.0521,0.0521,0.0312,1.4062
17,SO-OTHER,0.0000,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0179
18,SO-SO,0.0391,0.1953,0.2188,0.1406,0.1406,0.1562,0.1875,0.1250,0.1484,0.1641,0.2266,0.1406,0.1094,0.0938,0.1016,0.1562,0.1406,0.1875,0.1016,2.7734
19,SO-SR,0.0000,0.0170,0.0227,0.0341,0.0000,0.0227,0.0284,0.0057,0.0341,0.0284,0.0511,0.0284,0.0000,0.0568,0.0114,0.0114,0.0227,0.0000,0.0000,0.3750
20,SR-FR,0.0051,0.0202,0.0253,0.0101,0.0051,0.0202,0.0152,0.0051,0.0152,0.0202,0.0051,0.0000,0.0000,0.0051,0.0051,0.0000,0.0051,0.0000,0.0000,0.1616
21,SR-JR,0.0152,0.0606,0.0909,0.0909,0.0303,0.0000,0.0455,0.0455,0.0000,0.0152,0.0606,0.0455,0.1212,0.0606,0.0758,0.0455,0.0455,0.0152,0.0455,0.9091
22,SR-OTHER,0.0000,0.0130,0.0519,0.0909,0.0519,0.0390,0.0260,0.0519,0.0779,0.0260,0.0260,0.0779,0.0260,0.0260,0.0390,0.0260,0.0000,0.0260,0.0390,0.7143
23,SR-SO,0.0000,0.0170,0.0227,0.0341,0.0000,0.0227,0.0284,0.0057,0.0341,0.0284,0.0511,0.0284,0.0000,0.0568,0.0114,0.0114,0.0227,0.0000,0.0000,0.3750
24,SR-SR,0.0331,0.0496,0.0496,0.0496,0.0661,0.0661,0.0661,0.0496,0.0661,0.0331,0.0661,0.1322,0.1157,0.1157,0.0661,0.0331,0.0496,0.0331,0.0331,1.1736
